net,wires
"(4,1)","[(15,11,0),(15,12,0),(14,12,0),(13,12,0),(12,12,0),(11,12,0),(10,12,0),(9,12,0),(8,12,0),(7,12,0),(6,12,0),(5,12,0),(4,12,0),(3,12,0),(2,12,0),(1,12,0),(1,11,0)]"
"(5,1)","[(3,10,0),(3,11,0),(2,11,0),(1,11,0)]"
"(3,6)","[(10,11,0),(11,11,0),(12,11,0),(12,10,0)]"
"(16,11)","[(2,4,0),(3,4,0),(4,4,0),(4,5,0),(4,6,0),(4,7,0)]"
"(19,14)","[(11,4,0),(12,4,0),(13,4,0),(13,5,0)]"
"(12,8)","[(11,7,0),(12,7,0),(12,8,0),(12,9,0)]"
"(23,19)","[(9,2,0),(9,3,0),(10,3,0),(11,3,0),(11,4,0)]"
"(19,14)","[(11,4,0),(11,5,0),(12,5,0),(13,5,0)]"
"(14,12)","[(13,5,0),(13,6,0),(12,6,0),(11,6,0),(11,7,0)]"
"(5,1)","[(3,10,0),(2,10,0),(1,10,0),(1,11,0)]"
"(5,1)","[(3,10,0),(3,10,1),(2,10,1),(2,11,1),(1,11,1),(1,11,0)]"
"(5,1)","[(3,10,0),(3,9,0),(2,9,0),(1,9,0),(0,9,0),(0,10,0),(0,11,0),(1,11,0)]"
"(15,7)","[(16,5,0),(15,5,0),(15,6,0),(15,7,0),(14,7,0),(14,8,0),(14,9,0),(14,10,0)]"
chip_1_net_5,66
